ParticipantID,SEX,ParticipantAge,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExpect,YearsLeftLive
357,0,27,7,18,7,1,11,2,6,6,5,5,6,2,5,2,6,6,2,5,6,.350893170676764,.500040728977605,.165195691853675,-.27815803695894,6,6,6,6,3,6,6,6,6,6,7,5,5,5,5,5,5,5,5,5,7,80
380,0,31,2,17,1,1,18,1,4,2,7,1,6,1,1,1,6,7,1,6,5,1.20919301261993,.500040728977605,.942992074331398,1.24722474636429,7,7,7,7,7,7,5,1,7,7,7,2,6,5,6,6,6,6,6,4,4,55
67,0,37,2,21,2,2,10,6,6,4,6,7,5,6,7,6,6,7,3,6,7,.350893170676764,-.401628457849034,.942992074331398,.484533354702674,6,5,5,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6,2,5
102,0,49,6,21,4,4,100,6,3,4,5,4,5,4,5,4,5,4,5,4,5,-.507406671266396,.500040728977605,.942992074331398,.484533354702674,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,6,115
181,1,27,5,21,1,1,6,6,3,4,5,5,6,4,5,6,4,7,5,5,6,-.507406671266396,1.40170991580424,.942992074331398,-.27815803695894,5,5,4,4,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,4,65
263,1,56,4,27,3,1,2,5,6,2,4,4,6,3,6,1,6,5,3,5,6,-.507406671266396,1.40170991580424,.942992074331398,1.24722474636429,6,3,5,3,5,4,6,5,3,5,5,4,5,6,3,5,3,5,3,5,2,30
288,1,28,3,18,10,15,10,1,7,3,3,1,7,1,2,1,2,3,1,3,1,-.507406671266396,-1.30329764467567,.165195691853675,-1.80354082028217,5,6,3,6,3,7,1,7,6,3,1,7,3,2,2,1,1,1,1,1,3,20
313,0,33,5,20,16,1,2,1,6,5,4,4,5,4,4,2,4,5,5,5,6,1.20919301261993,-.401628457849034,1.72078845680912,.484533354702674,4,3,2,4,5,5,4,3,4,5,4,3,4,3,4,4,4,4,4,4,2,40
367,0,28,2,21,3,1,35,3,3,3,6,5,5,5,6,6,5,4,4,3,4,.350893170676764,1.40170991580424,.942992074331398,-1.04084942862055,3,5,3,2,2,2,1,2,2,1,2,3,3,1,2,1,2,1,1,1,2,90
28,0,33,2,18,2,1,1,6,2,1,7,5,6,5,6,5,7,6,4,6,7,.350893170676764,1.40170991580424,.942992074331398,.484533354702674,5,6,7,6,6,1,6,7,6,6,6,5,6,6,7,6,6,5,7,6,2,55
