ParticipantID	SEX	ParticipantAge	MEQ1	MEQ2	MEQ3	MEQ4	MEQ5	MEQ6	MEQ7	MEQ8	MEQ9	MEQ10	MEQ11	MEQ12
371	0	30	4	4	3	4	4	1	3	1	3	4	1	1
392	0	30	2	4	1	5	2	5	4	3	4	2	4	4
161	1	29	6	6	5	6	6	6	5	7	6	5	6	7
272	1	29	3	6	5	5	5	2	4	3	3	5	5	6
275	1	29	6	3	5	6	4	3	6	7	6	5	3	5
145	1	29	6	3	5	3	4	5	1	5	2	3	3	4
131	1	29	1	1	1	7	1	2	4	1	7	2	7	1
154	1	29	7	1	6	6	6	7	7	6	7	7	7	7
167	1	29	1	2	7	1	7	2	1	1	7	1	7	1
189	1	29	2	1	1	5	1	1	1	1	5	1	5	2
235	1	29	2	6	5	5	2	5	5	6	6	5	6	5
242	1	29	2	4	1	4	1	1	1	4	4	1	4	5
255	1	29	1	3	1	7	1	5	1	4	7	1	7	1
44	0	29	7	5	3	6	3	5	4	6	4	6	4	6
72	0	29	6	7	5	6	7	5	6	7	5	6	5	6
106	0	29	6	6	6	7	5	3	3	4	5	5	5	4
311	0	29	5	4	4	5	4	6	5	4	4	3	4	4
384	0	29	6	5	4	7	6	4	6	5	3	5	5	3
110	0	29	6	4	3	6	7	6	4	7	6	4	7	5
315	0	29	1	3	5	3	5	3	7	5	3	5	4	6
317	0	29	5	5	4	5	3	4	5	5	6	3	5	5
333	0	29	5	4	5	4	3	4	5	4	3	4	5	4
26	0	29	6	6	6	6	2	7	4	7	7	1	7	6
43	0	29	7	1	1	4	1	1	1	5	7	1	7	7
342	0	29	1	6	1	7	1	6	6	6	7	6	7	7
364	0	29	5	2	5	3	4	3	3	6	5	3	5	4
374	0	29	2	5	6	6	1	4	1	5	7	1	6	2
378	0	29	1	6	1	6	1	5	4	6	6	1	6	6
389	0	29	1	7	1	7	1	1	1	7	7	1	7	7
217	1	28	7	6	6	7	6	7	6	5	6	5	6	6
288	1	28	1	3	1	7	1	2	1	2	3	1	3	1
136	1	28	1	5	1	4	1	1	1	4	5	1	6	4
237	1	28	1	5	3	4	2	2	2	6	7	2	6	5
300	1	28	2	2	2	6	2	2	3	3	3	2	3	3
38	0	28	3	2	4	5	4	1	3	2	5	3	5	6
327	0	28	5	4	5	3	4	5	6	3	3	3	4	4
367	0	28	3	6	5	5	5	6	6	5	4	4	3	4
376	0	28	5	5	5	5	3	4	5	5	3	5	3	6
372	0	28	5	3	5	3	4	2	3	4	3	4	3	4
377	0	28	1	5	1	4	1	1	1	5	7	1	4	5
68	0	28	7	5	2	4	2	6	2	6	7	2	7	7
108	0	28	6	6	2	5	2	2	2	2	2	2	3	5
113	0	28	5	2	5	6	6	7	6	6	4	5	2	3
117	0	28	5	6	5	6	7	7	7	5	7	6	6	4
181	1	27	6	5	5	6	4	5	6	4	7	5	5	6
236	1	27	5	5	3	4	5	5	2	6	5	6	6	7
241	1	27	6	6	4	6	5	5	5	5	4	5	5	4
138	1	27	2	5	1	7	1	1	1	7	7	1	7	5
141	1	27	2	3	4	4	4	4	3	4	3	4	3	4
143	1	27	4	5	5	5	5	4	4	4	4	4	4	4
172	1	27	2	6	2	6	2	3	2	6	6	2	7	6
176	1	27	4	2	3	3	3	3	2	2	5	2	5	3
232	1	27	1	1	1	4	1	1	1	1	4	1	4	1
51	0	27	4	3	2	3	2	3	3	3	2	3	3	2
379	0	27	1	1	4	7	4	2	4	4	4	4	2	2
33	0	27	5	5	5	4	5	5	5	3	6	5	5	4
79	0	27	6	7	1	7	1	6	7	7	7	4	7	7
88	0	27	4	5	5	3	3	6	3	6	3	5	3	6
104	0	27	1	4	5	6	1	2	4	4	6	1	6	2
345	0	27	5	6	3	3	5	6	4	3	5	4	6	5
357	0	27	2	5	5	6	2	5	2	6	6	2	5	6
385	0	27	1	5	1	7	1	1	1	6	7	1	6	6
122	1	26	5	3	4	6	5	6	7	3	7	4	6	7
169	1	26	7	7	7	7	7	7	7	7	7	7	7	7
222	1	26	2	6	2	6	2	2	2	6	7	2	7	6
223	1	26	6	6	6	5	4	4	6	6	5	4	4	5
262	1	26	5	2	2	6	2	1	1	2	7	2	7	6
310	0	26	7	2	5	7	2	4	5	7	2	4	3	6
39	0	26	4	5	4	6	5	6	4	6	6	5	6	6
91	0	26	5	7	7	6	6	5	4	7	6	6	7	7
121	0	26	6	7	7	7	4	7	6	7	7	5	7	6
338	0	26	6	4	6	4	6	4	2	4	1	4	2	6
350	0	26	4	4	5	6	5	5	4	5	5	5	5	5
354	0	26	1	1	1	7	1	1	5	1	7	6	7	1
127	1	25	5	2	5	6	4	6	5	5	4	6	4	5
128	1	25	4	6	5	5	4	6	3	5	7	1	7	7
195	1	25	1	7	1	7	1	6	1	7	7	1	7	5
234	1	25	2	6	1	6	1	3	5	6	6	5	6	5
238	1	25	7	6	7	6	5	7	6	5	6	7	6	5
256	1	25	6	4	5	6	6	4	7	3	5	6	5	6
285	1	25	3	7	1	7	1	1	1	7	7	2	4	1
325	0	25	6	6	7	5	4	7	5	4	6	7	4	6
330	0	25	4	5	6	5	5	4	5	5	4	5	4	5
25	0	25	6	6	6	7	6	7	6	5	6	5	6	6
77	0	25	6	6	5	6	5	4	6	3	4	5	5	2
85	0	25	5	5	5	6	6	6	5	5	5	6	6	5
98	0	25	1	5	1	4	1	1	1	2	5	1	6	5
109	0	25	1	2	1	5	1	1	1	2	7	1	7	3
111	0	25	6	5	4	5	5	6	4	5	5	5	6	5
318	0	25	3	5	4	4	3	2	3	5	5	4	6	2
341	0	25	6	6	5	5	4	5	6	4	6	4	5	4
397	0	25	6	5	6	5	6	6	4	4	4	5	4	5
123	1	24	6	4	5	3	4	5	3	5	6	4	2	4
132	1	24	7	4	5	5	4	4	4	4	5	4	5	5
269	1	24	1	5	5	6	4	4	5	3	4	5	4	5
277	1	24	3	3	4	3	2	4	3	2	4	3	3	4
27	0	24	5	6	2	7	2	6	5	6	7	5	6	5
363	0	24	5	3	2	5	3	5	1	5	2	6	3	5
50	0	23	5	5	5	3	5	5	5	5	4	4	5	5
31	0	22	3	3	3	6	3	2	5	4	2	6	 	5
57	0	22	2	5	5	6	2	2	6	5	5	2	6	3
174	1	21	 	 	 	 	 	 	 	 	 	 	 	 
388	0	21	1	6	4	7	5	7	5	7	7	6	7	1
218	1	19	 	 	 	 	 	 	 	 	 	 	 	 
