ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
255,1,29,1,3,1,7,1,5,1,4,7,1,7,1
256,1,25,6,4,5,6,6,4,7,3,5,6,5,6
258,1,32,1,1,1,3,1,1,2,1,7,1,6,1
259,1,36,1,1,1,6,1,1,1,4,7,2,6,1
260,1,41,1,2,3,3,1,1,1,3,4,1,4,2
261,1,33,3,6,1,6,1,3,2,6,7,1,7,6
262,1,26,5,2,2,6,2,1,1,2,7,2,7,6
264,1,34,6,3,6,6,6,6,6,4,6,6,6,6
265,1,33,3,5,3,4,3,3,3,4,5,3,4,3
266,1,56,2,2,2,6,2,1,5,2,5,5,5,4
267,1,34,1,6,3,7,3,5,2,7,7,3,7,5
268,1,55,2,3,1,5,1,1,1,3,6,1,6,5
269,1,24,1,5,5,6,4,4,5,3,4,5,4,5
270,1,30,4,6,6,6,5,5,4,6,6,6,6,6
271,1,32,1,2,1,6,1,5,1,2,7,1,7,2
273,1,42,7,3,5,6,5,1,1,2,6,1,6,6
274,1,43,1,1,1,7,7,1,1,1,7,1,7,1
276,1,35,1,1,1,1,1,5,1,1,1,1,1,1
277,1,24,3,3,4,3,2,4,3,2,4,3,3,4
278,1,45,5,4,3,6,3,1,4,3,5,3,5,4
280,1,30,2,4,5,5,5,2,5,4,4,6,5,5
281,1,32,5,3,3,5,3,4,4,4,3,2,5,4
282,1,34,1,7,1,5,1,2,1,7,6,1,5,7
283,1,35,6,1,1,7,1,1,5,1,7,1,7,2
284,1,40,2,4,1,4,1,3,1,3,6,1,5,4
285,1,25,3,7,1,7,1,1,1,7,7,2,4,1
286,1,38,2,5,2,5,2,3,2,5,5,2,5,4
287,1,35,4,5,1,5,1,3,1,5,7,1,6,5
289,1,44,6,5,4,5,6,7,6,5,6,1,1,1
290,1,39,5,2,4,4,4,1,4,4,5,6,5,1
291,1,47,1,1,1,7,1,5,1,1,7,1,4,1
292,1,38,1,4,4,4,4,4,3,3,3,3,3,4
293,1,36,2,5,2,5,4,3,5,5,3,5,3,5
295,1,44,5,2,2,5,2,2,5,2,5,2,5,2
296,1,34,1,4,1,7,1,6,1,4,6,1,7,4
297,1,38,1,6,3,3,1,1,1,6,5,1,5,2
298,1,44,5,2,2,4,2,3,2,2,6,2,6,2
299,1,44,1,6,1,5,1,1,1,6,4,1,4,4
300,1,28,2,2,2,6,2,2,3,3,3,2,3,3
301,1,56,1,1,1,1,1,1,1,1,6,1,4,4
302,1,66,2,6,2,6,2,6,6,6,4,6,4,6
303,1,62,2,1,1,4,1,4,1,1,5,2,5,5
304,1,33,4,4,4,4,4,4,4,4,4,4,4,4
305,1,31,2,2,2,4,1,1,2,2,6,1,6,5
307,0,30,1,2,1,5,1,1,1,2,6,1,5,6
308,0,30,7,5,2,7,2,2,2,6,5,3,6,6
309,0,35,3,4,4,6,3,2,4,4,5,1,4,3
312,0,34,1,7,1,6,1,2,1,7,7,1,7,5
316,0,39,5,7,2,5,2,1,2,7,5,2,5,6
318,0,25,3,5,4,4,3,2,3,5,5,4,6,2
321,0,30,3,2,1,2,2,5,5,5,6,6,5,5
322,0,32,1,7,4,7,4,7,4,7,7,1,7,3
323,0,33,2,7,1,5,1,4,2,7,6,2,6,5
324,0,32,2,6,1,5,1,5,3,7,5,3,4,7
326,0,45,1,4,4,5,1,1,1,1,5,1,5,2
328,0,31,5,3,4,3,4,6,5,4,3,5,6,5
329,0,43,1,1,1,6,1,1,1,1,6,1,6,5
331,0,39,1,1,1,6,1,3,1,1,6,1,6,4
334,0,50,5,6,5,5,3,5,5,5,4,5,4,5
335,0,30,1,6,4,5,1,1,1,6,6,1,6,2
336,0,34,6,4,5,4,3,5,6,4,5,4,5,4
337,0,37,6,4,5,5,5,7,5,3,6,6,5,7
338,0,26,6,4,6,4,6,4,2,4,1,4,2,6
339,0,47,5,4,2,4,2,6,2,4,5,2,5,6
340,0,66,2,4,1,5,1,1,4,4,7,1,7,5
