Participant_Sex,Participant_Age,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MEQ13,MEQ14,MEQ15,MEQ16,MEQ17,MEQ18,MEQ19,MEQ20,MEQ21
1,19,3,4,4,4,5,3,3,2,4,3,3,6,3,2,2,5,4,3,5,3,6
1,19,2,6,2,2,6,6,2,4,4,6,2,6,2,5,2,6,2,6,3,6,2
1,35,6,5,6,6,6,6,6,6,6,6,6,6,2,6,2,7,2,6,6,6,6
1,25,1,1,1,1,4,4,2,1,4,1,1,1,7,1,2,4,2,3,3,5,3
1,35,2,6,1,5,3,4,1,4,5,7,1,7,1,1,1,1,1,1,1,1,1
1,25,4,5,5,5,5,5,5,5,4,5,4,5,4,5,3,4,3,5,5,5,4
1,47,2,3,2,3,2,5,2,2,2,3,6,4,6,5,3,6,5,5,5,2,5
1,36,6,4,4,6,3,5,5,5,3,4,3,5,3,5,2,3,4,5,5,3,2
1,26,5,4,2,1,1,6,3,1,5,5,1,5,4,4,2,5,2,5,5,6,5
1,36,4,1,3,3,3,3,3,2,2,3,1,3,3,1,6,2,7,1,3,2,4
1,40,2,5,2,4,5,6,2,6,2,5,4,5,3,5,3,4,4,5,2,2,3
1,36,5,6,3,2,4,5,4,5,3,4,4,5,3,5,3,5,4,5,5,5,6
1,41,5,5,3,5,6,6,2,5,2,4,2,4,3,5,2,5,5,3,1,1,1
1,25,2,6,6,3,6,4,5,5,5,4,5,5,6,6,4,7,6,5,7,4,3
1,23,6,4,2,6,2,7,1,5,6,5,3,5,2,2,1,1,3,1,1,2,1
1,57,4,5,3,4,5,6,3,5,5,5,3,5,3,5,3,5,4,5,3,3,2
1,32,1,6,4,1,4,6,7,6,1,4,1,4,1,7,2,1,4,4,1,1,1
1,28,6,5,4,5,5,6,5,5,5,6,5,4,5,5,2,6,3,6,4,7,6
1,48,1,6,4,7,6,7,2,6,1,6,6,7,1,1,2,6,3,1,2,1,1
1,36,5,4,5,5,4,5,3,5,3,5,4,3,5,3,4,6,3,5,5,4,3
1,46,3,6,2,5,5,6,1,6,1,6,1,6,4,5,3,5,2,5,5,2,4
1,28,1,5,5,5,4,5,4,4,5,6,4,4,4,5,3,5,2,4,4,5,3
1,27,2,7,2,4,3,7,2,5,4,6,2,6,2,5,3,4,5,5,3,2,2
1,34,4,4,6,6,5,6,5,6,6,5,5,6,4,1,7,1,7,1,1,1,2
1,33,2,6,2,5,4,5,2,3,4,5,2,3,4,5,4,2,2,7,4,4,3
1,34,6,2,6,6,4,3,4,3,6,1,4,2,4,6,4,1,1,6,2,1,4
1,30,1,6,1,1,3,6,1,1,6,2,6,6,1,1,1,1,1,1,1,1,1
1,35,1,1,1,1,1,1,2,1,1,1,1,1,7,1,7,1,4,1,1,1,1
1,32,6,5,4,7,4,5,5,4,5,5,6,5,2,3,1,6,3,6,5,5,6
1,40,5,6,5,5,5,6,2,5,5,7,2,6,1,5,2,5,2,5,6,6,2
1,47,1,5,1,1,2,5,1,3,1,1,1,4,4,1,1,1,1,1,1,1,1
1,51,4,5,3,2,3,6,2,4,1,4,1,5,3,1,2,4,3,1,5,2,2
1,40,2,6,4,5,5,6,2,6,2,5,2,5,3,5,4,5,5,3,2,3,3
1,32,1,7,1,7,7,7,1,7,1,7,1,7,2,5,4,5,2,6,2,2,2
1,34,2,6,6,4,3,3,3,5,4,5,5,6,4,4,3,4,3,3,5,2,2
1,29,7,7,6,7,7,5,6,6,7,7,6,6,2,6, ,1,2,2,2,5,1
1,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,30,3,5,2,4,5,6,3,6,3,6,3,6,2,5,3,5,3,5,3,2,2
1,29,3,4,4,4,4,5,4,5,5,5,4,4,3,4,4,5,4,4,5,5,4
1,28,6,6,6,2,1,7,1,6,6,4,7,4,2,6,2,6,6,6,6,1,1
1,73,2,6,5,6,6,6,4,6,4,6,3,6,3,1,3,1,3,1,4,5,6
1,41,2,5,1,2,5,6,1,5,2,6,2,6,2,2,2,5,6,2,3,2,2
1,27,2,3,5,4,3,4,3,4,3,5,4,3,3,4,5,5,5,4,3,5,5
1,31,3,5,2,3,3,5,3,5,3,4,3,4,3,6,2,5,3,6,3,4,3
1,35,3,5,4,6,5,5,5,6,4,5,5,4,2,6,3,5,2,6,2,4,2
1,60,1,6,1,1,5,7,1,7,4,7,1,6,1,4,1,4,3,4,1,1,1
1,27,5,6,1,2,2,7,1,5,3,6,1,6,1,6,1,2,3,6,1,3,2
1,32,3,3,4,4,3,3,3,5,5,4,4,4,5,2,5,2,4,4,4,5,5
1,40,4,4,5,4,4,4,5,3,5,5,4,4,4,4,4,5,3,3,4,5,5
1,28,4,5,2,4,4,2,5,4,6,6,4,2,3,4,5,5,5,3,3,4,5
1,30,5,6,3,5,4,3,5,5,5,5,6,5,3,5,3,7, ,5,4,6,7
1,30,4,6,3,5,3,6,3,5,5,6,3,5,3,5,2,5,2,5,3,4,5
1,48,2,7,1,5,6,7,1,5,2,6,2,7,3,5,5,2,6,3,2,2,1
1,30,4,5,2,3,3,5,4,5,6,4,3,4,4,4,4,4,4,2,4,3,5
1,33,3,7,2,7,6,7,2,7,3,5,2,5,2,4,1,6,6,3,6,6,7
1,22,5,4,3,2,3,5,3,5,4,4,5,5,2,4,2,5,2,5,4,3,3
1,21,7,6,5,2,7,6,7,6,2,2,6,6,6,6,1,5,2,5,5,5,7
1,41,5,6,3,6,4,6,3,6,4,4,4,4,4,4,2,5,3,4,3,2,3
1,46,5,6,3,3,2,5,2,4,2,5,6,6,3,6,4,5,4,3,2,2,2
1,37,3,5,3,2,5,6,3,5,2,5,3,6,3,5,2,6,5,5,3,2,3
1,34,2,6,1,1,3,7,1,4,1,3,1,5,1,5,1,6,2,5,3,1,1
1,28,5,4,4,3,3,6,3,3,3,3,4,6,5,3,3,3,4,3,4,5,4
1,45,3,4,2,2,3,5,3,3,3,5,3,5,3,6,3,5,3,5,4,3,4
1,27,1,2,2,1,1,6,1,4,6,4,5,4,1,5,1,5,1,5,2,6,4
1,56,5,6,5,5,4,7,2,6,2,7,2,7,1,6,2,5,3,6,2,1,2
1,29,4,4,2,4,4,5,2,5,3,4,5,4,2,3,4,3,3,5,2,2,2
1,27,1,7,1,1,7,7,6,6,6,6,6,5,1,6,3,7,1,4,5,4,5
1,55,3,5,3,5,4,6,3,6,5,4,4,5,3,3,3,5,3,3,3,2,2
1,30,5,4,5,5,2,6,6,5,5,6,5,5,2,7,4,6,3,7,6,5,4
1,29,3,5,3,1,5,6,2,5,2,6,2,6,5,4,4,6,6,5,3,3,2
1,30,1,6,5,2,3,6,1,3,4,6,4,6,2,2,7,1,3,5,2,1,1
1,27,5,4,5,3,3,4,3,3,4,4,5,5,2,4,1,3,2,4,5,4,6
1,20,1,7,5,7,6,5,6,6,1,4,6,6,2,6,5,6,2,7,7,5,5
1,51,2,7,2,4,6,6,3,5,2,4,2,5,4,2,5,1,6,1,2,1,2
1,28,5,6,5,5,6,7,6,7,5,2,5,5,6,5,3,5,3,5,5,3,5
