Participant_ID,Participant_Sex,Participant_Age,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MRSF1,MRSF2,MRSF3,MRSF4,MRSF5,MRSF6,MRSF7,MRSF8,MRSF9,MRSF10,MRSF11,MRSF12,MRSF13,MRSF14,MRSF15,MRSF16,MRSF17,MRSF18,MRSF19,MRSF20,MRSF21,MRSF22,MRSF23,MRSF24,MRSF25,MRSF26,MRSF27,MRSF28,MRSF29,MRSF30,MRSF31,MRSF32,MRSF33,MRSF34,MRSF35,MRSF36,MRSF37,MRSF38,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
47,1,32,1,7,5,5,2,6,5,5,4,2,5,6,2,2,1,1,2,1,2,2,3,4,2,3,3,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,4,3,3,2,1,1,2,1,1,1,2,1,1,2,6,5,9,9,9,5,6,6,6,5,5,7,6,7,7,7,7,6,5,4,6,4,5,4,5
48,1,65,5,4,1,5,2,6,4,3,4,4,4,5,2,1,1,1,2,1,1,2,3,1,3,4,3,2,4,3,2,2,1,2,1,1,1,1,1,2,1,3,3,4,4,3,2,3,3,1,2,1,4,9,9,9,9,1,3,2,8,7,7,6,7,7,6,6,6,1,6,6,1,1,1,1,2,2,2,1,1
52,1,32,5,5,3,6,4,2,4,6,6,4,6,4,2,1,2,1,1,1,2,2,3,1,3,4,2,2,3,1,1,1,1,1,1,1,1,1,2,3,1,3,3,3,3,2,3,3,1,1,1,1,2,3,1,6,3,7,6,5,5,6,6,4,6,6,5,6,6,4,7,6,5,6,6,6,5,5,5,4,1
53,1,40,3,1,1,7,1,2,2,1,5,1,5,3,1,1,1,1,1,1,1,2,4,3,3,4,2,1,4,2,3,1,1,1,1,1,1,1,4,4,1,4,4,4,4,2,3,4,3,1,1,1,2,3,7,9,9,1,7,5,5,6,6,7,5,7,4,7,7,4,7,7,2,7,7,7,6,3,5,4,4
54,1,51,5,7,1,5,1,7,1,7,7,1,7,7,2,1,1,1,1,1,1,1,2,1,2,4,3,1,4,3,1,1,1,2,1,1,1,1,1,2,1,3,4,2,4,3,2,4,4,1,1,1,2,2,5,9,9,1,8,6,6,6,7,7,7,7,5,5,5,6,7,7,1,7,6,6,1,5,5,2,1
55,1,40,4,7,1,6,1,2,2,7,7,1,7,4,1,1,1,1,1,1,1,2,3,2,3,4,2,2,3,2,2,1,1,1,1,1,1,1,1,2,1,3,3,3,4,2,2,2,1,1,1,1,1,1,1,9,1,9,7,6,3,5,6,4,7,6,6,7,7,4,7,5,7,7,7,7,6,5,6,2,4
56,1,34,2,2,3,5,4,4,1,2,6,1,4,6,1,1,1,1,1,1,1,1,3,1,3,3,2,1,4,2,1,1,1,1,1,1,1,1,3,1,1,4,4,3,3,2,3,3,1,1,1,1,2,6,6,3,2,4, , , ,5,5,4,3,5,5,5,1,4,6,4,4,7,6,5,6,5,5,5,7
57,1,22,2,5,5,6,2,2,6,5,5,2,6,3,3,1,1,1,1,1,1,1,1,1,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,2,3,3,1,3,1,1,1,3,3,9,2,4,7,6,4,5,6,6,6,5,3,5,3,4,4,7,6,3,5,3,3,3,3,2,1
58,1,45,2,6,1,6,1,5,1,7,7,1,7,5,3,1,2,1,3,2,3,2,3,3,2,4,3,2,2,2,2,2,1,3,1,2,1,3,3,1,1,3,4,3,4,3,3,2,2,1,2,1,2,6,6,7,3,7,6,5,7,6,5,3,5,6,5,2,1,3,5,7,6,4,3,3,5,5,5,2,1
59,1,54,5,1,5,6,5,6,5,1,5,4,5,3,1,1,1,1,1,1,1,1,3,1,4,4,3,1,2,1,1,1,1,2,1,1,1,2,1,1,1,4,3,4,4,3,1,3,1,1,1,1,3,8,9,8,8,1,6,2,3,5,6,3,6,7,3,3,5,2,4,5,2,7,7,7,3,2,2,1,1
