Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
191,1,37,1,6,1,20,6,1,20,1,1,6,6,1,6,1,1,1,6,7,1,7,1
246,1,37,1,3,1,15,5,1,2,1,5,6,4,1,5,1,3,1,5,4,1,6,3
337,0,37,1,3,1,21,3,1,10,6,6,6,4,5,5,5,7,5,3,6,6,5,7
356,0,37,1,3,1,21,4,4,1,5,4,5,6,5,4,6,5,4,5,6,5,6,4
49,0,36,1,30,1,18,5,5,3,7,6,7,6,1,1,1,5,3,6,6,7,6,7
84,0,36,1,4,1,21,4,1,20,1,7,7,1,1,7,1,1,1,1,7,1,7,1
89,0,36,1,10,1,15,50,3,20,1,7,7,5,1,6,1,1,4,5,7,1,7,5
107,0,36,1,7,1,16,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,0,36,1,8,1,12,6,1,6,5,5,5,3,3,6,6,6,5,5,5,5,5,6
115,0,36,1,5,1,17,5,1,1,7,2,7,6,7,6,6,5,7,4,7,5,7,4
152,1,36,1,2,1,18,2,1,1,2,2,5,5,5,6,6,2,2,6,6,6,6,6
153,1,36,1,3,1,22,1,1,5,1,4,4,5,1,5,1,1,1,5,4,1,4,4
259,1,36,1,3,1,14,2,1,20,1,6,7,1,1,6,1,1,1,4,7,2,6,1
398,0,36,1,2,1,24,1,1,4,1,7,3,1,1,4,1,1,1,1,6,1,5,3
66,0,36,0,5,1,23,2,0,0,1,6,5,5,1,4,1,2,1,5,4,1,3,3
293,1,36,0,7,1,12,7,0,0,2,7,5,5,2,5,4,3,5,5,3,5,3,5
29,0,35,1,3,1,15,3,1,6,1,7,7,1,1,7,1,7,1,1,7,1,7,1
63,0,35,1,10,1,15,12,1,8,1,6,7,5,1,5,1,6,2,5,5,2,5,2
73,0,35,1,6,1,16,12,1,2,2,6,6,7,1,6,7,5,2,7,5,1,6,7
159,1,35,1,7,1,18,7,1,2,2,6,6,4,2,6,2,2,2,4,4,2,4,4
201,1,35,1,20,1,17,40,1,1,2,7,4,4,5,4,5,3,2,4,6,2,5,2
276,1,35,1,3,1,16,11,1,15,1,1,1,1,1,1,1,5,1,1,1,1,1,1
283,1,35,1,0,1,20,3,1,30,6,4,7,1,1,7,1,1,5,1,7,1,7,2
287,1,35,1,2,1,24,2,1,0,4,3,6,5,1,5,1,3,1,5,7,1,6,5
309,0,35,1,4,1,18,2,1,15,3,5,5,4,4,6,3,2,4,4,5,1,4,3
30,0,35,0,4,1,14,1,1,0,1,4,4,4,1,6,1,1,1,4,4,1,1,4
399,0,35,0,12,1,17,18,2,0,1,7,5,5,6,5,4,6,3,5,6,3,5,3
37,0,34,1,10,1,17,15,1,8,7,7,6,7,4,7,4,7,6,7,7,4,5,6
56,0,34,1,10,1,17,18,1,2,2,6,6,2,3,5,4,4,1,2,6,1,4,6
92,0,34,1,5,1,16,20,0,0,4,7,7,7,1,7,1,1,1,7,7,1,7,4
198,1,34,1,5,1,17,32,3,1,4,7,6,7,4,7,6,6,5,6,7,6,5,6
230,1,34,1,3,1,23,2,1,2,2,2,6,5,2,3,2,1,1,1,6,1,6,1
233,1,34,1,7,1,23,7,1,4,1,4,6,7,1,7,1,4,1,7,7,1,7,5
264,1,34,1,5,1,15,3,1,1,6,6,6,3,6,6,6,6,6,4,6,6,6,6
267,1,34,1,4,1,23,1,1,4,1,5,6,6,3,7,3,5,2,7,7,3,7,5
282,1,34,1,3,1,14,4,1,0,1,7,5,7,1,5,1,2,1,7,6,1,5,7
296,1,34,1,2,1,18,4,1,5,1,4,7,4,1,7,1,6,1,4,6,1,7,4
332,0,34,1,5,1,18,11,2,2,3,5,5,5,3,6,3,3,3,4,5,3,4,3
336,0,34,1,1,1,27,1,1,5,6,4,3,4,5,4,3,5,6,4,5,4,5,4
353,0,34,1,6,1,16,6,1,15,1,4,5,6,1,5,4,5,3,6,6,3,7,5
366,0,34,1,3,1,22,8,1,2,2,4,6,7,5,4,5,2,4,7,7,1,7,6
32,0,34,0,55,1,11,160,4,25,7,4,4,7,2,4,6,7,7,7,4,3,4,4
78,0,34,0,2,1,21,2,0,0,3,3,5,6,2,3,3,3,2,5,4,2,4,2
312,0,34,0,2,1,18,2,0,0,1,6,6,7,1,6,1,2,1,7,7,1,7,5
28,0,33,1,2,1,18,2,1,1,6,6,7,7,5,6,5,6,5,7,6,4,6,7
41,0,33,1,3,1,21,3,1,25,2,2,6,5,6,7,2,2,7,6,6,2,1,6
81,0,33,1,3,1,17,3,1,4,4,5,3,3,2,2,4,4,2,1,4,5,5,3
101,0,33,1,8,1,14,26,1,20,1,1,7,1,1,7,1,1,3,1,5,3,6,3
103,0,33,1,15,1,15,9,1,25,1,1,6,2,1,5,1,2,1,4,6,1,5,5
133,1,33,1,8,1,16,7,1,3,3,6,4,5,2,5,3,3,2,5,4,2,4,5
150,1,33,1,3,1,19,5,1,0,5,5,7,2,2,3,2,1,5,2,6,2,6,1
151,1,33,1,15,1,16,15,1,1,1,4,7,7,4,7,1,1,1,7,7,1,7,7
155,1,33,1,10,1,16,7,1,2,6,2,5,4,5,7,5,3,5,5,7,3,7,3
179,1,33,1,13,1,15,10,1,8,2,1,6,7,1,6,1,6,1,7,6,1,7,3
228,1,33,1,5,1,19,5,1,11,2,3,2,1,5,7,4,1,3,2,3,6,4,5
248,1,33,1,10,1,18,12,1,4,7,5,7,7,1,7,1,3,1,7,7,1,7,5
261,1,33,1,3,1,18,6,1,15,3,2,5,6,1,6,1,3,2,6,7,1,7,6
265,1,33,1,1,1,25,1,1,5,3,5,5,5,3,4,3,3,3,4,5,3,4,3
304,1,33,1,8,1,17,11,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4
313,0,33,1,5,1,20,16,1,2,1,2,3,4,4,5,4,4,2,4,5,5,5,6
352,0,33,1,4,1,16,2,1,10,6,4,7,7,5,4,6,7,4,7,4,6,7,5
