ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
138,1,27,0,10,17,10,1,10,2,5,1,7,1,1,1,7,7,1,7,5
139,1,50,0,2,19,2,1,4,1,1,1,3,1,1,1,1,7,1,7,7
140,1,44,0,3,16,3,1,0,1,1,1,6,1,1,1,1,7,1,6,1
141,1,27,0,100,21,1,1,10,2,3,4,4,4,4,3,4,3,4,3,4
142,1,52,0,10,14,68,1,6,7,7,6,7,4,7,6,7,6,3,7,7
143,1,27,0,2,22,2,1,9,4,5,5,5,5,4,4,4,4,4,4,4
144,1,32,0,5,17,5,1,30,1,7,1,7,1,1,7,7,7,7,7,7
145,1,29,0,2, ,0,0,0,6,3,5,3,4,5,1,5,2,3,3,4
146,1,57,0,7,18,6,1,0,1,7,1,5,1,1,1,7,7,1,7,6
147,1,42,0,8,14,20,4,4,3,5,1,7,1,2,2,4,6,2,6,2
148,1,63,0,5,20,1,1,2,1,1,1,5,1,1,1,1,4,1,5,5
149,1,38,0,5,14,20,1,4,2,5,1,5,1,1,1,7,4,1,3,6
150,1,33,0,3,19,5,1,0,5,2,2,3,2,1,5,2,6,2,6,1
151,1,33,0,15,16,15,1,1,1,7,4,7,1,1,1,7,7,1,7,7
152,1,36,0,2,18,2,1,1,2,5,5,6,6,2,2,6,6,6,6,6
153,1,36,0,3,22,1,1,5,1,5,1,5,1,1,1,5,4,1,4,4
154,1,29,0,1,19,1,1,20,7,1,6,6,6,7,7,6,7,7,7,7
155,1,33,0,10,16,7,1,2,6,4,5,7,5,3,5,5,7,3,7,3
156,1,44,1,6,20,3,1,0,6,6,2,5,2,5,6,6,7,4,7,6
157,1,42,1,6,14,6,0,0,6,1,2,6,3,1,2,1,6,2,4,2
158,1,59,0,5,15,30,1,4,1,6,1,6,1,4,1,7,7,1,7,6
159,1,35,0,7,18,7,1,2,2,4,2,6,2,2,2,4,4,2,4,4
160,1,65,0,3,17,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1
161,1,29,0,2,19,2,1,5,6,6,5,6,6,6,5,7,6,5,6,7
162,1,40,1,20,15,20,1,0,5,5,1,7,1,7,2,5,7,2,7,2
163,1,31,0,1,17,1,1,0,3,5,1,3,1,1,1,5,5,1,4,5
164,1,55,1,5,13, ,0,0,1,4,1,1,1,3,1,6,4,1,1,1
165,1,56,0,10,17,10,1,2,1,7,3,7,1,1,1,6,6,1,7,6
166,1,62,1,35,18,25,0,0,6,4,4,5,4,2,6,4,6,4,6,6
167,1,29,0,1,25,1,1,12,1,2,7,1,7,2,1,1,7,1,7,1
168,1,32,0,3,18,3,1,6,2,5,6,5,5,1,1,5,5,5,6,6
169,1,26,0,6,15,2,1,4,7,7,7,7,7,7,7,7,7,7,7,7
170,1,53,0,3,23,2,1,0,1,1,1,5,1,3,4,1,6,1,6,3
171,1,39,0,30,17,20,1,10,2,6,2,6,2,5,2,7,6,2,6,7
172,1,27,0,1,20,1,1,4,2,6,2,6,2,3,2,6,6,2,7,6
173,1,59,0,5,16,4,1,1,2,7,3,6,3,3,3,7,5,5,5,5
174,1,21,0,12,14,5,2,3, , , , , , , , , , , , 
175,1,49,0,14,14,33,1,0,4,7,1,7,1,3,2,4,7,2,7,6
176,1,27,0,7,17,10,1,2,4,2,3,3,3,3,2,2,5,2,5,3
177,1,66,0,3,16,1,1,4,1,4,1,5,1,2,1,6,6,1,6,6
178,1,41,0,5,19,1,1,4,2,5,1,6,1,1,2,4,6,2,6,5
