Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
147,2,42,1,8,1,14,20,4,4,3,7,5,5,1,7,1,2,2,4,6,2,6,2
148,2,63,1,5,1,20,1,1,2,1,4,6,1,1,5,1,1,1,1,4,1,5,5
149,2,38,1,5,1,14,20,1,4,2,6,4,5,1,5,1,1,1,7,4,1,3,6
150,2,33,1,3,1,19,5,1,0,5,5,7,2,2,3,2,1,5,2,6,2,6,1
151,2,33,1,15,1,16,15,1,1,1,4,7,7,4,7,1,1,1,7,7,1,7,7
152,2,36,1,2,1,18,2,1,1,2,2,5,5,5,6,6,2,2,6,6,6,6,6
153,2,36,1,3,1,22,1,1,5,1,4,4,5,1,5,1,1,1,5,4,1,4,4
154,2,29,1,1,1,19,1,1,20,7,6,6,1,6,6,6,7,7,6,7,7,7,7
155,2,33,1,10,1,16,7,1,2,6,2,5,4,5,7,5,3,5,5,7,3,7,3
156,2,44,2,6,1,20,3,1,0,6,7,6,6,2,5,2,5,6,6,7,4,7,6
157,2,42,2,6,1,14,6,0,0,6,5,7,1,2,6,3,1,2,1,6,2,4,2
158,2,59,1,5,1,15,30,1,4,1,4,5,6,1,6,1,4,1,7,7,1,7,6
159,2,35,1,7,1,18,7,1,2,2,6,6,4,2,6,2,2,2,4,4,2,4,4
160,2,65,1,3,1,17,1,1,1,1,1,2,1,1,1,1,1,1,1,7,1,7,1
161,2,29,1,2,1,19,2,1,5,6,5,7,6,5,6,6,6,5,7,6,5,6,7
162,2,40,2,20,1,15,20,1,0,5,7,3,5,1,7,1,7,2,5,7,2,7,2
163,2,31,1,1,1,17,1,1,0,3,5,5,5,1,3,1,1,1,5,5,1,4,5
164,2,55,2,5,1,13, ,0,0,1,1,1,4,1,1,1,3,1,6,4,1,1,1
165,2,56,1,10,1,17,10,1,2,1,6,7,7,3,7,1,1,1,6,6,1,7,6
166,2,62,2,35,1,18,25,0,0,6,6,6,4,4,5,4,2,6,4,6,4,6,6
167,2,29,1,1,1,25,1,1,12,1,1,5,2,7,1,7,2,1,1,7,1,7,1
168,2,32,1,3,1,18,3,1,6,2,2,5,5,6,5,5,1,1,5,5,5,6,6
169,2,26,1,6,1,15,2,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7
170,2,53,1,3,1,23,2,1,0,1,5,5,1,1,5,1,3,4,1,6,1,6,3
171,2,39,1,30,1,17,20,1,10,2,2,6,6,2,6,2,5,2,7,6,2,6,7
172,2,27,1,1,1,20,1,1,4,2,1,5,6,2,6,2,3,2,6,6,2,7,6
173,2,59,1,5,1,16,4,1,1,2,5,6,7,3,6,3,3,3,7,5,5,5,5
174,2,21,1,12,1,14,5,2,3, , , , , , , , , , , , , , 
175,2,49,1,14,1,14,33,1,0,4,5,6,7,1,7,1,3,2,4,7,2,7,6
176,2,27,1,7,1,17,10,1,2,4,6,6,2,3,3,3,3,2,2,5,2,5,3
177,2,66,1,3,1,16,1,1,4,1,1,1,4,1,5,1,2,1,6,6,1,6,6
178,2,41,1,5,1,19,1,1,4,2,4,5,5,1,6,1,1,2,4,6,2,6,5
179,2,33,1,13,1,15,10,1,8,2,1,6,7,1,6,1,6,1,7,6,1,7,3
180,2,55,1,4,1,15,4,1,4,2,2,2,2,2,7,2,2,2,2,5,1,6,2
181,2,27,2,5,1,21,1,1,6,6,5,4,5,5,6,4,5,6,4,7,5,5,6
183,2,58,1,3,1,18, ,0,2,1,1,7,5,1,6,1,1,1,5,7,1,7,7
184,2,30,1,7,1,17,25,1,3,1,5,6,5,1,4,1,2,2,6,2,2,4,2
186,2,60,2,20,1,18,15,0,0,6,4,4,2,2,5,1,4,4,1,6,1,6,2
187,2,32,1,3,1,21,1,1,4,4,3,3,4,4,3,2,3,4,4,4,3,3,3
188,2,70,1,1,1,19,2,1,2,1,1,5,1,2,3,1,1,1,1,7,1,7,6
189,2,29,1,5,1,16,3,1,2,2,2,6,1,1,5,1,1,1,1,5,1,5,2
190,2,46,1,2,1,22,3,1,6,4,6,5,2,2,6,2,2,2,2,6,2,3,2
191,2,37,1,6,1,20,6,1,20,1,1,6,6,1,6,1,1,1,6,7,1,7,1
192,2,41,1,4,1,21,2,1,0,3,4,5,4,4,5,3,2,2,4,5,2,6,4
193,2,46,1,10,1,18,5,1,15,5,4,5,6,1,6,1,2,6,6,7,3,7,4
194,2,56,2,20,1,15,25,0,0,3,6,6,2,2,6,2,2,5,2,5,4,6,5
195,2,25,2,1,1,24,4,1,0,1,1,7,7,1,7,1,6,1,7,7,1,7,5
196,2,49,2,6,1,15,12,2,1,3,6,5,2,3,5,3,2,3,3,5,4,7,5
197,2,41,2,6,1,17,5,1,2,2,6,6,2,2,6,2,2,4,3,6,3,6,3
198,2,34,1,5,1,17,32,3,1,4,7,6,7,4,7,6,6,5,6,7,6,5,6
199,2,60,1,5,1,15,6,1,0,5,2,3,6,1,6,1,5,1,6,7,1,7,1
200,2,31,1,3,1, ,1,1,1,6,5,6,5,7,6,5,6,5,7,6,7,7,5
201,2,35,1,20,1,17,40,1,1,2,7,4,4,5,4,5,3,2,4,6,2,5,2
202,2,50,1,4,1,21,9,1,12,1,7,7,4,1,5,1,1,1,5,5,1,5,5
203,2,48,1,5,1,18,5,1,5,1,6,7,1,1,7,1,1,1,1,7,1,7,3
204,2,42,1,4,1,21,4,1,30,1,7,6,6,1,7,1,1,1,6,5,1,5,6
205,2,48,1,5,1,16,21,1,1,2,3,6,5,1,6,1,2,1,5,6,1,4,4
206,2,48,1,5,1,28,5,1,4,1,7,7,6,1,5,1,3,4,6,5,2,3,2
207,2,41,2,6,1,15,65,1,0,2,7,2,1,5,7,2,5,7,2,5,2,3,1
208,2,60,1,50,1,15,80,1,10,1,6,6,4,1,6,1,2,4,4,5,1,6,6
209,2,31,1,3,1,17,10,1,5,1,1,5,6,4,6,5,1,1,7,6,1,6,7
210,2,38,1,6,1,17,6,1,13,1,1,7,3,1,7,1,1,1,1,6,1,6,2
211,2,32,1,1,1,23,1,1,1,1,5,4,5,1,4,1,1,1,5,5,1,5,5
212,2,48,1,8,1,16,20,1,0,1,1,5,3,1,5,1,3,1,2,6,1,6,2
213,2,45,2,3,1,24,17,1,4,1,1,1,1,1,5,1,1,1,2,4,1,4,1
214,2,39,1,30,1,17,30,1,20,1,2,7,7,5,6,1,3,1,7,6,1,6,7
215,2,58,2,10,1,17,10,0,0,2,4,5,5,4,4,4,4,4,4,4,4,4,4
216,2,32,1,2,1,23,5,1,2,2,6,6,6,2,6,2,6,2,6,6,2,6,2
217,2,28,1,5,1,18,5,3,4,7,6,7,6,6,7,6,7,6,5,6,5,6,6
218,2,19,2,0,2, ,0,0,0, , , , , , , , , , , , , , 
219,2,56,1,18,1,16,8,1,0,2,6,5,5,1,5,1,2,6,5,6,5,6,5
220,2,52,1,6,1,17, ,1,0,7,4,7,4,1,6,1,1,1,4,7,1,4,4
221,2,39,1,3,1,17,3,1,20,3,2,5,3,2,6,3,2,3,5,2,3,6,2
222,2,26,1,4,1,16,4,1,1,2,1,5,6,2,6,2,2,2,6,7,2,7,6
223,2,26,1,3,1,21,4,1,10,6,5,5,6,6,5,4,4,6,6,5,4,4,5
225,2,45,1,4,1,15,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,2,32,1,6,1,19,6,1,1,1,4,5,6,1,4,1,6,1,6,7,1,6,6
227,2,47,1,6,1,17,20,1,5,3,6,5,1,4,6,5,5,4,1,7,4,7,5
228,2,33,1,5,1,19,5,1,11,2,3,2,1,5,7,4,1,3,2,3,6,4,5
229,2,30,1,10,1,17,25,2,10,1,5,5,7,1,4,1,3,2,6,5,1,3,3
230,2,34,1,3,1,23,2,1,2,2,2,6,5,2,3,2,1,1,1,6,1,6,1
231,2,57,1,8,1,15,7,1,10,4,6,6,2,2,7,2,3,3,2,6,1,6,6
232,2,27,1,2,1,17,2,1,5,1,4,5,1,1,4,1,1,1,1,4,1,4,1
233,2,34,1,7,1,23,7,1,4,1,4,6,7,1,7,1,4,1,7,7,1,7,5
234,2,25,2,1,1,20,1,0,0,2,5,5,6,1,6,1,3,5,6,6,5,6,5
235,2,29,1,6,1,17,10,1,5,2,3,5,6,5,5,2,5,5,6,6,5,6,5
236,2,27,1, ,1,27,1,1,3,5,2,6,5,3,4,5,5,2,6,5,6,6,7
237,2,28,1,3,1,15,3,1,6,1,2,5,5,3,4,2,2,2,6,7,2,6,5
238,2,25,1,1,1,21,1,1,1,7,6,7,6,7,6,5,7,6,5,6,7,6,5
239,2,60,1,3,1,19,3,1,12,2,6,7,5,1,7,1,1,1,6,6,1,6,6
240,2,39,1,1,1,21,1,1,0,1,1,7,1,1,1,1,1,1,1,7,1,1,1
