Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
187,1,4,3,3,4,4,3,2,3,4,4,4,3,3,3
188,1,1,1,5,1,2,3,1,1,1,1,7,1,7,6
189,1,2,2,6,1,1,5,1,1,1,1,5,1,5,2
190,1,4,6,5,2,2,6,2,2,2,2,6,2,3,2
191,1,1,1,6,6,1,6,1,1,1,6,7,1,7,1
192,1,3,4,5,4,4,5,3,2,2,4,5,2,6,4
193,1,5,4,5,6,1,6,1,2,6,6,7,3,7,4
194,1,3,6,6,2,2,6,2,2,5,2,5,4,6,5
195,1,1,1,7,7,1,7,1,6,1,7,7,1,7,5
196,1,3,6,5,2,3,5,3,2,3,3,5,4,7,5
198,1,4,7,6,7,4,7,6,6,5,6,7,6,5,6
199,1,5,2,3,6,1,6,1,5,1,6,7,1,7,1
201,1,2,7,4,4,5,4,5,3,2,4,6,2,5,2
202,1,1,7,7,4,1,5,1,1,1,5,5,1,5,5
203,1,1,6,7,1,1,7,1,1,1,1,7,1,7,3
204,1,1,7,6,6,1,7,1,1,1,6,5,1,5,6
205,1,2,3,6,5,1,6,1,2,1,5,6,1,4,4
206,1,1,7,7,6,1,5,1,3,4,6,5,2,3,2
207,1,2,7,2,1,5,7,2,5,7,2,5,2,3,1
208,1,1,6,6,4,1,6,1,2,4,4,5,1,6,6
209,1,1,1,5,6,4,6,5,1,1,7,6,1,6,7
210,1,1,1,7,3,1,7,1,1,1,1,6,1,6,2
211,1,1,5,4,5,1,4,1,1,1,5,5,1,5,5
212,1,1,1,5,3,1,5,1,3,1,2,6,1,6,2
213,1,1,1,1,1,1,5,1,1,1,2,4,1,4,1
214,1,1,2,7,7,5,6,1,3,1,7,6,1,6,7
216,1,2,6,6,6,2,6,2,6,2,6,6,2,6,2
218,1, , , , , , , , , , , , , , 
219,1,2,6,5,5,1,5,1,2,6,5,6,5,6,5
220,1,7,4,7,4,1,6,1,1,1,4,7,1,4,4
221,1,3,2,5,3,2,6,3,2,3,5,2,3,6,2
222,1,2,1,5,6,2,6,2,2,2,6,7,2,7,6
223,1,6,5,5,6,6,5,4,4,6,6,5,4,4,5
225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,1,1,4,5,6,1,4,1,6,1,6,7,1,6,6
227,1,3,6,5,1,4,6,5,5,4,1,7,4,7,5
228,1,2,3,2,1,5,7,4,1,3,2,3,6,4,5
229,1,1,5,5,7,1,4,1,3,2,6,5,1,3,3
230,1,2,2,6,5,2,3,2,1,1,1,6,1,6,1
231,1,4,6,6,2,2,7,2,3,3,2,6,1,6,6
232,1,1,4,5,1,1,4,1,1,1,1,4,1,4,1
233,1,1,4,6,7,1,7,1,4,1,7,7,1,7,5
