ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
281,1,32,0,10,19,8,1,0,5,3,3,5,3,4,4,4,3,2,5,4
322,0,32,0,12,21,4,1,18,1,7,4,7,4,7,4,7,7,1,7,3
324,0,32,0,5,21,4,1,4,2,6,1,5,1,5,3,7,5,3,4,7
347,0,32,0,5,20,5,1,1,4,4,5,3,5,4,5,5,4,5,2,5
349,0,32,0,1,31,1,1,2,4,5,5,5,4,4,5,6,6,5,5,5
365,0,32,0,3,25,1,1,20,2,1,2,7,2,2,1,1,7,1,7,5
368,0,32,0,1,26,1,1,35,5,6,5,5,5,5,6,5,6,5,5,6
391,0,32,1,0, ,0,0,0,1,2,1,7,1,1,2,6,6,5,6,6
40,0,31,0,1,27,1,1,0,5,4,4,5,5,3,2,1,1,2,1,2
93,0,31,0,1,21,1,1,6,1,2,1,6,1,1,1,1,7,1,7,4
163,1,31,0,1,17,1,1,0,3,5,1,3,1,1,1,5,5,1,4,5
200,1,31,0,3, ,1,1,1,6,5,7,6,5,6,5,7,6,7,7,5
209,1,31,0,3,17,10,1,5,1,6,4,6,5,1,1,7,6,1,6,7
245,1,31,0,1,16,1,1,1,2,2,4,2,6,3,6,4,3,2,5,6
305,1,31,0,2,27,1,1,1,2,2,2,4,1,1,2,2,6,1,6,5
380,0,31,0,2,17,1,1,18,1,7,1,6,1,1,1,6,7,1,6,5
381,0,31,0,12,14,10,1,5,1,7,1,7,1,2,1,7,6,1,6,7
21,0,30,0,5,14,25,1,7,4,4,4,6,4,4,4,4,5,4,6,5
23,0,30,1,1,28,1,0,0,1,2,1,5,1,1,1,2,6,1,5,6
24,0,30,0,1, ,0,0,0,1,1,1,1,1,6,6,6,6,6,7,5
75,0,30,0,20,16,20,1,15,1,1,1,5,1,1,1,1,6,1,7,1
76,0,30,0,5,16,16,1,10,2,6,2,6,2,6,5,6,7,4,6,6
116,0,30,0,2,20,2,2,5,6,4,6,7,6,5,6,5,5,3,4,6
184,1,30,0,7,17,25,1,3,1,5,1,4,1,2,2,6,2,2,4,2
229,1,30,0,10,17,25,2,10,1,7,1,4,1,3,2,6,5,1,3,3
244,1,30, ,1,21,1,1,8,1,2,1,1,1,1,1,1,3,1,1,1
270,1,30,0,3,19,3,1,8,4,6,6,6,5,5,4,6,6,6,6,6
280,1,30,0,4,18,10,1,2,2,4,5,5,5,2,5,4,4,6,5,5
307,0,30,1,1,28,1,0,0,1,2,1,5,1,1,1,2,6,1,5,6
321,0,30,0,2,24,2,2,2,3,2,1,2,2,5,5,5,6,6,5,5
335,0,30,0,5,23,1,1,8,1,6,4,5,1,1,1,6,6,1,6,2
344,0,30,0,2,18,3,1,1,5,3,5,5,3,3,4,5,4,3,3,5
351,0,30,0,1,16,2,2,2,5,4,4,5,5,3,5,6,6,5,5,5
392,0,30,0,5,17,5,1,15,2,4,1,5,2,5,4,3,4,2,4,4
26,0,29,0,3,19,3,2,6,6,6,6,6,2,7,4,7,7,1,7,6
43,0,29,0,1,25,1,1,2,7,1,1,4,1,1,1,5,7,1,7,7
44,0,29,0,5,18,4,2,5,7,5,3,6,3,5,4,6,4,6,4,6
72,0,29,0,2,28,1,1,1,6,7,5,6,7,5,6,7,5,6,5,6
106,0,29,0,5,15,5,1,30,6,6,6,7,5,3,3,4,5,5,5,4
110,0,29,0,1,28,1,1,3,6,4,3,6,7,6,4,7,6,4,7,5
131,1,29,1,1,20,11,1,0,1,1,1,7,1,2,4,1,7,2,7,1
145,1,29,0,2, ,0,0,0,6,3,5,3,4,5,1,5,2,3,3,4
154,1,29,0,1,19,1,1,20,7,1,6,6,6,7,7,6,7,7,7,7
161,1,29,0,2,19,2,1,5,6,6,5,6,6,6,5,7,6,5,6,7
167,1,29,0,1,25,1,1,12,1,2,7,1,7,2,1,1,7,1,7,1
189,1,29,0,5,16,3,1,2,2,1,1,5,1,1,1,1,5,1,5,2
235,1,29,0,6,17,10,1,5,2,6,5,5,2,5,5,6,6,5,6,5
242,1,29,0,1,17,2,2,5,2,4,1,4,1,1,1,4,4,1,4,5
255,1,29,0,3,17,2,1,3,1,3,1,7,1,5,1,4,7,1,7,1
272,1,29,0,2,20,2,2,2,3,6,5,5,5,2,4,3,3,5,5,6
275,1,29,0,2,21,2,2,0,6,3,5,6,4,3,6,7,6,5,3,5
