Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
136,1,1,1,2,5,1,4,1,1,1,4,5,1,6,4,6,6,7,6,7,2,7,6,7,7,7,7,5,5,4,6,5,6,3,3
137,1,2,6,3,5,3,6,5,6,2,5,3,5,3,5,5,5,7,6,6,4,7,3,7,4,6,6,6,6,6,6,6,6,5,6
138,1,2,3,1,5,1,7,1,1,1,7,7,1,7,5,6,6,6,7,6,7,7,5,7,7,1,5,7,7,7,5,4,4,3,1
139,1,1,3,1,1,1,3,1,1,1,1,7,1,7,7,7,7,3,7,7,7,1,1,1,1,7,7,3,1,6,4,2,6,1,2
141,1,2,6,5,3,4,4,4,4,3,4,3,4,3,4,7,6,6,1,7,1,6,6,6,7,7,6,7,6,6,6,6,6,5,7
142,1,7,2,3,7,6,7,4,7,6,7,6,3,7,7,2,5,6,5,3,3,5,6,7,5,7,5,2,2,2,3,5,5,2,2
143,1,4,3,3,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,2,7,7,4,7,7,7,5,5,5,5,5,5,5,5
144,1,1,1,1,7,1,7,1,1,7,7,7,7,7,7,5,7,7,7,7,1,1,7,4,7,7,7,7,7,7,7,7,7,5,6
146,1,1,7,4,7,1,5,1,1,1,7,7,1,7,6,5,5,7,7,7,7,7,3,7,7,7,5,7,7,7,5,5,5,6,5
147,1,3,1,3,5,1,7,1,2,2,4,6,2,6,2,5,6,6,5,5,4,4,5,6,6,5,3,6,6,6,7,6,6,5,4
148,1,1,4,2,1,1,5,1,1,1,1,4,1,5,5,5,6,5,6,7,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6
149,1,2,2,4,5,1,5,1,1,1,7,4,1,3,6,3,6,2,2,5,6,2,5,7,7,7,6,5,2,7,3,3,2,1,1
150,1,5,3,1,2,2,3,2,1,5,2,6,2,6,1,5,6,1,5,4,3,1,6,4,5,7,6,7,6,7,2,2,3,2,2
151,1,1,4,1,7,4,7,1,1,1,7,7,1,7,7,4,7,7,7,7,7,7,4,6,7,7,3,7,7,7,4,4,4,1,5
152,1,2,6,3,5,5,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
153,1,1,4,4,5,1,5,1,1,1,5,4,1,4,4,3,5,5,5,5,6,5,6,7,7,7,7,6,5,5,5,5,4,4,6
154,1,7,2,2,1,6,6,6,7,7,6,7,7,7,7,7,6,6,2,2,7,7,7,2,7,7,7,7,6,6,7,7,6,6,7
155,1,6,6,3,4,5,7,5,3,5,5,7,3,7,3,6,7,2,5,5,4,2,6,4,6,7,7,6,3,6,2,5,2,1,3
156,1,6,1,2,6,2,5,2,5,6,6,7,4,7,6,1,7,6,7,5,3,1,1,7,7,7,7,2,1,1,7,7,7,5,5
157,1,6,3,1,1,2,6,3,1,2,1,6,2,4,2,1,6,4,3,5,7,1,7,4,5,7,7,5,3,3,6,3,7,3,1
158,1,1,4,3,6,1,6,1,4,1,7,7,1,7,6,6,6,6,7,7, ,6,4,7,7,7,5,7,7,7,7,7,7,5,1
159,1,2,2,2,4,2,6,2,2,2,4,4,2,4,4,6,6,5,7,4,7,2,4,2,2,3,2,4,3,6,2,2,6,2,2
