ParticipantID,ParticipantSex,ParticipantAge,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
96,1,76,4,1,14,20,0,0,2,5,5,2,2,6,2,3,3,2,4,2,4,1,1,6,6,9,1,1,1,1,1,3,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3
97,1,67,20,1,17,12,1,2,1,1,6,6,1,6,1,1,1,6,6,1,6,6,2,6,7,9,8,9,4,4,4,6,7,7,6,5,3,1,1,6,7,7,6,1,1,1,1,1,1,1,1
99,1,32,5,1,15,4,1,0,2,7,7,6,4,6,4,2,2,6,6,6,7,6,2,2,2,3,4,5,4,4,3,7,7,6,7,7,6,7,7,4,6,7,6,2,6,6,1,6,6,5,5
100,1,48,11,1,15, ,1,12,1,1,4,7,1,7,1,7,4,7,6,1,7,4,2,9,9,5,9,9,7,2,7,5,6,7,6,4,1,7,7,4,7,7,1,7,7,7,5,6,6,1,4
101,1,33,8,1,14,26,1,20,1,1,7,1,1,7,1,1,3,1,5,3,6,3,2,9,8,4,1,2,1,1,1,6,7,4,7,4,1,7,7,7,7,7,5,3,6,4, ,5,5,7,6
102,1,49,6,1,21,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5,4,5,2,2,2,5,4,6,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5
103,1,33,15,1,15,9,1,25,1,1,6,2,1,5,1,2,1,4,6,1,5,5,2,2,4,8,8,6,7,6,3,5,5,5,6,6,6,7,7,4,7,7,5,3,6,6,5,6,6,2,4
104,1,27,3,1,19,2,1,3,1,5,6,4,5,6,1,2,4,4,6,1,6,2,2,2,1,3,1,2,2,2,1,6,6,5,6,7,7,4,4,4,6,7,7,5,4,4,5,3,3,1,1
106,1,29,5,1,15,5,1,30,6,5,5,6,6,7,5,3,3,4,5,5,5,4,6,2,2,1,3,3,5,6,7,4,5,5,3,4,4,5,5,6,6,5,6,5,5,4,4,6,7,5,5
107,1,36,7,1,16,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,7,2,3,2,3,2,4,3,3,5,4,4,4,4,4,6,7,6,6,7,6,6,5,6,1,1
109,1,25,4,1,19,2,1,5,1,1,7,2,1,5,1,1,1,2,7,1,7,3,2,1,1,3,1,1,1,1,1,5,6,6,5,5,5,6,6,6,6,7,7,7,7,7,5,5,4,4,1
110,1,29,1,1,28,1,1,3,6,4,6,4,3,6,7,6,4,7,6,4,7,5,1,1,1,5,3,8,4,2,4,6,5,7,4,6,1,4,6,4,7,6,4,7,6,4,3,6,5,4,6
111,1,25,2,1,19,2,2,3,6,4,4,5,4,5,5,6,4,5,5,5,6,5,3,2,2,5,8,7,6,6,6,5,6,5,4,5,5,5,5,6,6,4,5,5,5,5,4,5,5,6,6
112,1,49,6,1,21,6,1,0,2,6,7,7,1,7,1,6,1,7,4,1,4,2,2,1,1,4,3,5,7,7,7,7,7,6,7,5,3,3,5,7,4,7,2,6,3,3,6,5,5,1,1
113,1,28,2,1,27,2,1,1,5,6,5,2,5,6,6,7,6,6,4,5,2,3,2,2,3,3,5,1,2,3,2,6,7,5,3,7,2,5,5,6,6,6,5,6,7,6,6,4,5,6,5
114,1,36,8,1,12,6,1,6,5,5,5,3,3,6,6,6,5,5,5,5,5,6,2,6,6,9,9,9,8,7,7,5,6,6,5,4,3,3,2,2,5,2,1,2,4,3,4,3,4,1,1
115,1,36,5,1,17,5,1,1,7,2,7,6,7,6,6,5,7,4,7,5,7,4,1,5,5,4,5,8,2,2,4,5,6,3,6,4,6,4,7,6,5,6,5,5,6,4,5,4,6,4,5
116,1,30,2,1,20,2,2,5,6,7,5,4,6,7,6,5,6,5,5,3,4,6,3,3,3,8,8,1,6,5,6,6,7,7,7,6,5,6,6,5,7,5,6,7,6,6,5,7,7,5,5
117,1,28, ,1,13,4,1,4,5,4,7,6,5,6,7,7,7,5,7,6,6,4,2,3,3,2,4,8,7,5,7,4,6,5,7,7,5,6,6,3,6,7,7,3,5,5,7,3,6,5,7
119,1,38,10,1,15,15,2,6,4,5,4,2,4,6,3,4,2,2,4,2,5,3,3,5,6,9,5,8,4,4,4,5,6,6,7,6,2,7,2,4,7,7,3,7,6,6,7,6,6,4,4
120,1,57,6,1,18,10,0,0,6,6,5,7,2,3,5,6,2,7,5,1,7,5,1,6,6,7,8,9,8,3,6,5,6,6,6,7,5,6,2,4,6,3,1,6,5,5,5,5,5,6,6
121,1,26,12,1,15,13,1,0,6,6,7,7,7,7,4,7,6,7,7,5,7,6,2,6,6,9,9,9,9,9,9,6,6,7,7,6,2,7,5,1,5,7,1,6,7,7,7,7,7,5,1
122,2,26,2,1,25,1,1,3,5,3,5,3,4,6,5,6,7,3,7,4,6,7,3,3,2,8,6,3,5,7,6,6,5,6,6,5,3,6,6,7,7,7,5,7,5,4,6,6,7,5,4
