ParticipantID,SEX,ParticipantAge,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
249,1,66,1,7,1,7,1,4,1,1,1,7,4,4,7,1,2,2,1,7,7,1,2,2,2,6,6,7,7,7,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7
306,0,38,6,2,3,6,6,5,5,6,4,5,4,5,5,6,1,1,1,1,1,2,2,2,2,4,5,5,6,4,5,4,5,4,6,6,5,5,5,5,4,6,6,5,4
315,0,29,1,4,2,3,5,3,5,3,7,5,3,5,4,6,3,7,5,6,8,4,4,8,6,2,6,3,6,5,7,5,7,3,5,3,6,4,5,7,6,3,4,6,5
317,0,29,5,3,2,5,4,5,3,4,5,5,6,3,5,5,7,6,4,6,7,6,6,7,3,5,6,7,5,5,3,7,5,6,6,5,6,4,5,4,5,6,5,4,5
330,0,25,4,3,2,5,6,5,5,4,5,5,4,5,4,5,5,6,6,6,7,6,6,7,6,5,6,5,6,5,6,5,4,5,6,4,5,6,5,6,5,6,5,6,5
332,0,34,3,3,3,5,3,6,3,3,3,4,5,3,4,3,2,1,2,7,8,2,9,7,9,6,6,6,7,7,5,6,6,6,6,4,5,6,6,6,7,6,6,5,2
333,0,29,5,4,5,4,5,4,3,4,5,4,3,4,5,4,3,2,4,5,4,5,4,5,4,6,5,3,4,5,6,5,3,4,5,5,4,3,5,5,4,3,4,5,4
348,0,47,5,4,3,4,3,4,3,2,2,2,5,2,6,2,1,1,1,1,1,9,1,1,1,5,6,6,6,7,4,7,7,7,7,7,6,6,6,7,6,6,6,6,6
351,0,30,5,2,4,4,4,5,5,3,5,6,6,5,5,5,4,4,2,2,4,4,4,6,8,6,6,7,7,6,5,5,5,7,6,6,7,7,7,6,6,7,7,7,6
352,0,33,6,4,1,7,5,4,6,7,4,7,4,6,7,5,3,7,5,9,7,6,4,5,8,6,4,7,6,7,6,7,5,6,5,7,5,7,5,7,5,6,7,4,6
370,0,56,5,3,3,2,5,5,2,2,3,2,6,2,6,2,1,1,1,1,1,1,7,7,7,6,6,6,6,6,6,6,5,6,5,6,5,5,5,5,4,4,4,3,3
372,0,28,5,5,3,3,5,3,4,2,3,4,3,4,3,4,2,4,2,4,3,5,3,4,3,5,3,5,4,7,4,5,4,4,4,1,2,3,2,3,4,3,4,3,3
377,0,28,1,7,4,5,1,4,1,1,1,5,7,1,4,5,1,1,1,9,2,6,1,1,1,5,6,4,7,6,2,6,5,6,6,1,5,6,4,4,7,6,6,7,7
21,0,30,4,4,4,4,4,6,4,4,4,4,5,4,6,5,2,7,7,5,5,5,5,6,4,5,5,5,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,4
